timestamp,event,seq_num,details
1780652081.148288,SEND,229,"DATA, attempt=1"
1780652081.148833,ACK_RECEIVED,229,ACK
1780652081.1490488,SEND,230,"DATA, attempt=1"
1780652081.1494956,ACK_RECEIVED,230,ACK
1780652081.1496856,SEND,231,"DATA, attempt=1"
1780652081.1505852,ACK_RECEIVED,231,ACK
1780652081.1507893,SEND,232,"DATA, attempt=1"
1780652081.1514888,ACK_RECEIVED,232,ACK
1780652081.1517017,SEND,233,"DATA, attempt=1"
1780652081.1523128,ACK_RECEIVED,233,ACK
1780652081.152667,SEND,234,"DATA, attempt=1"
1780652081.154772,ACK_RECEIVED,234,ACK
1780652081.1551642,SEND,235,"DATA, attempt=1"
1780652081.1564603,ACK_RECEIVED,235,ACK
1780652081.1566856,SEND,236,"DATA, attempt=1"
1780652081.157815,ACK_RECEIVED,236,ACK
1780652081.158079,SEND,237,"DATA, attempt=1"
1780652081.158954,ACK_RECEIVED,237,ACK
1780652081.1591406,SEND,238,"DATA, attempt=1"
1780652081.1597228,ACK_RECEIVED,238,ACK
1780652081.1599553,SEND,239,"DATA, attempt=1"
1780652081.1605234,ACK_RECEIVED,239,ACK
1780652081.1607137,SEND,240,"DATA, attempt=1"
1780652081.161145,ACK_RECEIVED,240,ACK
1780652081.1613386,SEND,241,"DATA, attempt=1"
1780652081.161826,ACK_RECEIVED,241,ACK
1780652081.1620054,SEND,242,"DATA, attempt=1"
1780652081.1629548,ACK_RECEIVED,242,ACK
1780652081.1635354,SEND,243,"DATA, attempt=1"
1780652081.164317,ACK_RECEIVED,243,ACK
1780652081.1645362,SEND,244,"DATA, attempt=1"
1780652081.1651764,ACK_RECEIVED,244,ACK
1780652081.165355,SEND,245,"DATA, attempt=1"
1780652081.1658604,ACK_RECEIVED,245,ACK
1780652081.166074,SEND,246,"DATA, attempt=1"
1780652081.1667514,ACK_RECEIVED,246,ACK
1780652081.1670341,SEND,247,"DATA, attempt=1"
1780652081.1682289,ACK_RECEIVED,247,ACK
1780652081.1684403,SEND,248,"DATA, attempt=1"
1780652081.1744964,ACK_RECEIVED,248,ACK
1780652081.175086,SEND,249,"DATA, attempt=1"
1780652081.1764455,ACK_RECEIVED,249,ACK
1780652081.1766717,SEND,250,"DATA, attempt=1"
1780652081.1776862,ACK_RECEIVED,250,ACK
1780652081.1778638,SEND,251,"DATA, attempt=1"
1780652081.178377,ACK_RECEIVED,251,ACK
1780652081.178614,SEND,252,"DATA, attempt=1"
1780652081.1794586,ACK_RECEIVED,252,ACK
1780652081.1797938,SEND,253,"DATA, attempt=1"
1780652081.1804469,ACK_RECEIVED,253,ACK
1780652081.180672,SEND,254,"DATA, attempt=1"
1780652081.181169,ACK_RECEIVED,254,ACK
1780652081.1813545,SEND,255,"DATA, attempt=1"
1780652081.181849,ACK_RECEIVED,255,ACK
1780652081.1820393,SEND,256,"DATA, attempt=1"
1780652081.1825244,ACK_RECEIVED,256,ACK
1780652081.1827502,SEND,257,"DATA, attempt=1"
1780652081.1833506,ACK_RECEIVED,257,ACK
1780652081.1835768,SEND,258,"DATA, attempt=1"
1780652081.184033,ACK_RECEIVED,258,ACK
1780652081.1842163,SEND,259,"DATA, attempt=1"
1780652081.1850874,ACK_RECEIVED,259,ACK
1780652081.18531,SEND,260,"DATA, attempt=1"
1780652081.1876562,ACK_RECEIVED,260,ACK
1780652081.1879513,SEND,261,"DATA, attempt=1"
1780652081.189172,ACK_RECEIVED,261,ACK
1780652081.1894276,SEND,262,"DATA, attempt=1"
1780652081.1899903,ACK_RECEIVED,262,ACK
1780652081.190192,SEND,263,"DATA, attempt=1"
1780652081.1907618,ACK_RECEIVED,263,ACK
1780652081.1909475,SEND,264,"DATA, attempt=1"
1780652081.1920826,ACK_RECEIVED,264,ACK
1780652081.1922808,SEND,265,"DATA, attempt=1"
